instrument_id,side,qty,entry_ts,entry_price,exit_ts,exit_price,realized_pnl,fees,multiplier,is_open
IWM,LONG,35,2021-07-02T20:00:00+00:00,231.96847499999998,2021-12-02T21:00:00+00:00,215.23057500000002,-585.8264999999989,15.65196675,1.0,false
IWM,LONG,2,2021-10-04T20:00:00+00:00,222.22417499999997,2021-12-02T21:00:00+00:00,215.23057500000002,-13.987199999999916,0.8749095,1.0,false
IWM,LONG,1,2021-11-02T20:00:00+00:00,235.06619999999998,2021-12-02T21:00:00+00:00,215.23057500000002,-19.835624999999965,0.450296775,1.0,false
USO,LONG,162,2020-05-04T20:00:00+00:00,18.375825,2021-12-02T21:00:00+00:00,48.229125,4836.234600000001,30.139745625,1.0,false
USO,LONG,49,2020-10-02T20:00:00+00:00,26.806849999999997,2021-12-02T21:00:00+00:00,48.229125,1049.6914750000003,3.6767627749999994,1.0,false
USO,LONG,102,2020-12-02T21:00:00+00:00,30.65645,2021-12-02T21:00:00+00:00,48.229125,1792.4128500000004,8.04632865,1.0,false
USO,LONG,92,2021-04-05T20:00:00+00:00,41.252874999999996,2021-12-02T21:00:00+00:00,48.229125,641.8150000000007,8.232344,1.0,false
USO,LONG,116,2021-07-02T20:00:00+00:00,50.756575000000005,2021-12-02T21:00:00+00:00,48.229125,-293.1842000000002,11.4823412,1.0,false
USO,LONG,21,2021-09-02T20:00:00+00:00,48.26035,2021-12-02T21:00:00+00:00,48.229125,-0.6557249999999826,2.026278975,1.0,false
SPY,LONG,15,2020-08-04T20:00:00+00:00,328.890175,2022-01-04T21:00:00+00:00,477.213975,2224.857,21.9582675,1.0,false
QQQ,LONG,17,2020-05-04T20:00:00+00:00,211.978625,2022-01-04T21:00:00+00:00,400.77554999999995,3209.5477249999994,29.706875850000003,1.0,false
QQQ,LONG,1,2020-10-02T20:00:00+00:00,278.43435,2022-01-04T21:00:00+00:00,400.77554999999995,122.34119999999996,0.6792098999999999,1.0,false
TLT,LONG,38,2021-10-04T20:00:00+00:00,145.06175,2022-01-04T21:00:00+00:00,144.3582,-26.734899999999186,10.9979581,1.0,false
IWM,LONG,112,2022-01-04T21:00:00+00:00,226.36450000000002,2022-02-02T21:00:00+00:00,202.71195,-2649.085600000002,48.056562400000004,1.0,false
TLT,LONG,165,2021-10-04T20:00:00+00:00,145.06175,2022-02-02T21:00:00+00:00,142.1238,-484.7617500000001,52.89796224999999,1.0,false
TLT,LONG,9,2021-11-02T20:00:00+00:00,146.8061,2022-02-02T21:00:00+00:00,142.1238,-42.14069999999998,2.6003691,1.0,false
GLD,LONG,149,2022-01-04T21:00:00+00:00,168.75082500000002,2022-02-02T21:00:00+00:00,167.57002500000002,-175.93920000000074,50.111806650000005,1.0,false
SPY,LONG,4,2020-08-04T20:00:00+00:00,328.890175,2022-03-02T21:00:00+00:00,427.88759999999996,395.98969999999986,20.458290375,1.0,false
